Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Velocity,PositionX,PositionY,HorizontalInput,VerticalInput
1.65918934345245,2.90610456466675,9.66298961639404,10,4.19703912734985,12.80936,-228.0898,33.09509,-0.5,0
3.20560574531555,6.91582775115967,10,4.51143360137939,2.63575196266174,12.48936,-228.7204,26.88027,-0.467626839876175,0
3.75217270851135,5.81126546859741,10,5.48738574981689,2.12002158164978,11.48936,-228.2803,20.89382,-0.117684908211231,0
3.56542468070984,5.1506724357605,10,8.36730766296387,2.23793959617615,11.55012,-227.377,15.23289,0,0.629749417304993
2.10979342460632,3.12250733375549,6.63638353347778,10,4.22788715362549,15.39736,-225.7865,8.684003,-0.346102148294449,1
0.75655722618103,1.22896063327789,4.30340003967285,10,5.83417797088623,15.64563,-222.3151,1.570414,-0.5,0
0.835763692855835,1.53405427932739,10,10,4.58904600143433,14.64563,-216.8278,-3.592406,-0.4751016497612,0
3.46771264076233,7.29926156997681,10,4.10552787780762,2.36243867874146,13.64563,-210.2707,-6.161564,-0.133264541625977,0
3.69312047958374,5.43098878860474,10,7.38843584060669,2.26704049110413,15.75475,-203.3107,-7.687974,0,1
2.33288383483887,4.01777601242065,10,8.16237831115723,3.8322594165802,19.27475,-194.5409,-9.101936,-0.273765861988068,0.828751683235168
4.23100662231445,10,10,3.38105463981628,2.11203694343567,18.79474,-185.0272,-8.170215,0.5,0
2.97542977333069,4.99164533615112,10,6.98641633987427,3.12756943702698,17.95472,-175.8891,-8.546638,0,0.243419706821442
2.02603459358215,3.41737198829651,10,9.22261524200439,4.21299886703491,20,-166.5772,-9.332319,0,1
1.60858952999115,2.93927311897278,10,8.90358543395996,4.51595067977905,19.75999,-156.5987,-9.733506,0,0
1.78885447978973,3.6930468082428,10,7.435142993927,4.18563985824585,18.87997,-146.9587,-9.684859,-0.413370281457901,0.158727288246155
3.07240891456604,6.03601455688477,10,5.43618679046631,2.95524168014526,19.83941,-137.3961,-8.701509,0.197983786463737,0.674074292182922
